lokasjon;nav_kontorer
Bjerke, Vestre Aker og Gamle Oslo;Bjerke,Vestre Aker,Gamle Oslo
Falkenborg/Lerkendal;Falkenborg,Lerkendal
Kongsberg/Øvre Eiker;Kongsberg,Øvre Eiker
Sunnfjord;Sunnfjord og Ytre Sogn
Sunnmøre;ytre Søre Sunnmøre
Øvre Romerike;Nes i Akershus,Nannestad Gjerdrum,Eidsvoll Hurdal,Ullensaker
